,path,keywords,keywords_by_double_tab
0,20231226_144558_jpg.rf.jpg,"['TIMES TOWER', '오션타임스타워']",TIMES TOWER		오션타임스타워
1,20231226_144558_jpg.rf2.jpg,['LG u+'],LG u+
2,20231226_144558_jpg.rf3.jpg,['술까오'],술까오
3,20231226_144558_jpg.rf4.jpg,['00'],00
4,20231226_144558_jpg.rf5.jpg,['Leh:'],Leh:
5,20231226_144648_jpg.rf.jpg,"['TIMES TOWER', '오선타임스타워']",TIMES TOWER		오선타임스타워
6,20231226_144705_jpg.rf.jpg,"['신영증권', 'O9P232']",신영증권		O9P232
7,20231226_144942_jpg.rf.jpg,"['LIVART', 'KITCHEN', '광주전시장 Tel 385-6093', 'CrN', '현대리바트']",LIVART		KITCHEN		광주전시장 Tel 385-6093		CrN		현대리바트
8,20231226_145010_jpg.rf.jpg,['LG U+'],LG U+
9,20231226_145201_jpg.rf.jpg,"['wNH농협은행', '365', 'Auto Bank']",wNH농협은행		365		Auto Bank
10,20231226_145224_jpg.rf.jpg,"['OUTBACK', 'STEAKHOUSE']",OUTBACK		STEAKHOUSE
11,20231226_145224_jpg.rf2.jpg,"['NH농협은행', '상무금융센터']",NH농협은행		상무금융센터
12,20231226_145245_jpg.rf.jpg,['해피한음'],해피한음
13,20231226_145245_jpg.rf2.jpg,['버디이장'],버디이장
14,20231226_145245_jpg.rf3.jpg,[],
15,20231226_145245_jpg.rf4.jpg,[],
16,20231226_145245_jpg.rf5.jpg,[],
17,20231226_145251_jpg.rf.jpg,"['Auto Bank', '365', 'ONH농협은행']",Auto Bank		365		ONH농협은행
18,20231226_145251_jpg.rf2.jpg,"['JH', 'Bank', '일Z농헤은행', '365', 'Auto Bank']",JH		Bank		일Z농헤은행		365		Auto Bank
19,20231226_145251_jpg.rf3.jpg,"['MIP&', '상무중강약국']",MIP&		상무중강약국
20,20231226_145300_jpg.rf.jpg,"['마H', 'Bank', '네Z포협인행', '365', 'Auto Bank']",마H		Bank		네Z포협인행		365		Auto Bank
21,20231226_145302_jpg.rf.jpg,"['O', 'AL']",O		AL
22,20231226_145302_jpg.rf2.jpg,['버디'],버디
23,20231226_145302_jpg.rf3.jpg,['현관한인습'],현관한인습
24,20231226_145316_jpg.rf.jpg,"['JEJU', '중문솥뚜껑', '제주흑돼지전문점', '광주상무점 T062-373-5659']",JEJU		중문솥뚜껑		제주흑돼지전문점		광주상무점 T062-373-5659
25,20231226_145316_jpg.rf2.jpg,"['mope', '생주티이', '제일의']",mope		생주티이		제일의
26,20231226_145316_jpg.rf3.jpg,['금'],금
27,20231226_145326_jpg.rf.jpg,"['JEJU', '중문']",JEJU		중문
28,20231226_145326_jpg.rf2.jpg,"['랩틴안마', '381-2112', '4F', 'F']",랩틴안마		381-2112		4F		F
29,20231226_145326_jpg.rf3.jpg,['H래래'],H래래
30,20231226_145329_jpg.rf.jpg,"['상무중앙약국', '병의원 처방 초제전문', ""HIP'S"", 'TEL:716-8575', 'appiness in Pharme']",상무중앙약국		병의원 처방 초제전문		HIP'S		TEL:716-8575		appiness in Pharme
31,20231226_145335_jpg.rf.jpg,"['JEJU', '쿵문솥뚜껑', '제주흑돼지전문점', '광주상무점 T062-373-5659']",JEJU		쿵문솥뚜껑		제주흑돼지전문점		광주상무점 T062-373-5659
32,20231226_145335_jpg.rf2.jpg,"['랩틴안마', '381-2112 4F']",랩틴안마		381-2112 4F
33,20231226_145335_jpg.rf3.jpg,['HE타아'],HE타아
34,20231226_145335_jpg.rf4.jpg,['애구'],애구
35,20231226_145340_jpg.rf.jpg,"['NH농협은행', 'NH농협금융', '상무금융센터']",NH농협은행		NH농협금융		상무금융센터
36,20231226_145349_jpg.rf.jpg,"['상무중앙약국', '병의원 처방 초제전문', ""HIP'S"", 'TEL:716-8575', 'Mopinepe dn phare']",상무중앙약국		병의원 처방 초제전문		HIP'S		TEL:716-8575		Mopinepe dn phare
37,20231226_145351_jpg.rf.jpg,"['체리모텔', 'elGofd', 'euuy', '567층카운터5층']",체리모텔		elGofd		euuy		567층카운터5층
38,20231226_145351_jpg.rf2.jpg,"['봉쥬르노래홀', '2F', '유흥주점']",봉쥬르노래홀		2F		유흥주점
39,20231226_145351_jpg.rf3.jpg,"['세리', '모텔스', '진형상리프워링']",세리		모텔스		진형상리프워링
40,20231226_145351_jpg.rf4.jpg,"['판누', 'CANNES', '시피리야이', '유흥주점', '3F']",판누		CANNES		시피리야이		유흥주점		3F
41,20231226_145356_jpg.rf.jpg,"['봉쥬르노래홀', '2F', '유흥주점']",봉쥬르노래홀		2F		유흥주점
42,20231226_145356_jpg.rf2.jpg,['67층카운터5층'],67층카운터5층
43,20231226_145356_jpg.rf3.jpg,['imnz'],imnz
44,20231226_145402_jpg.rf.jpg,"['체리모텔', 'eeo', '567층카운터5층']",체리모텔		eeo		567층카운터5층
45,20231226_145402_jpg.rf2.jpg,"['봉쥬르노래', '2F']",봉쥬르노래		2F
46,20231226_145402_jpg.rf3.jpg,"['체리', '모텔', '전제실리모델링']",체리		모텔		전제실리모델링
47,20231226_145402_jpg.rf4.jpg,"['깐', '1F', 'CANNES', '시피']",깐		1F		CANNES		시피
48,20231226_145405_jpg.rf.jpg,"['봉쥬르노', '2F']",봉쥬르노		2F
49,20231226_145405_jpg.rf2.jpg,"['Cre Clud', '567층카운터5층']",Cre Clud		567층카운터5층
50,20231226_145405_jpg.rf3.jpg,"['판누', 'CANNES', '시킨야이', '유흥주점', '3F']",판누		CANNES		시킨야이		유흥주점		3F
51,20231226_145405_jpg.rf4.jpg,"['한비', 'HOY', 'BAR', '1F']",한비		HOY		BAR		1F
52,20231226_145406_jpg.rf.jpg,"['TIMES TOWER', '오션 타임스타워']",TIMES TOWER		오션 타임스타워
53,20231226_145406_jpg.rf2.jpg,"['친환경', '주 본앤본', '광주상무점', '373-8871']",친환경		주 본앤본		광주상무점		373-8871
54,20231226_145415_jpg.rf.jpg,"['마포', '선장', '키조개삼합', '상무직영점 710-5409', '전문점', '체인점문의 1877-1457']",마포		선장		키조개삼합		상무직영점 710-5409		전문점		체인점문의 1877-1457
55,20231226_145420_jpg.rf.jpg,"['BAR', 'HOT', '핫바']",BAR		HOT		핫바
56,20231226_145420_jpg.rf2.jpg,"['초바', 'HOTA', 'BAR', '1F']",초바		HOTA		BAR		1F
57,20231226_145423_jpg.rf.jpg,"['C 벨암스디', '보 383-02', '매수산', '도소매문점', '도5']",C 벨암스디		보 383-02		매수산		도소매문점		도5
58,20231226_145423_jpg.rf2.jpg,['봉형주차점'],봉형주차점
59,20231226_145423_jpg.rf3.jpg,"['달', '무인', '보o리0사참장']",달		무인		보o리0사참장
60,20231226_145423_jpg.rf4.jpg,[],
61,20231226_145430_jpg.rf.jpg,"['점', '2F']",점		2F
62,20231226_145430_jpg.rf2.jpg,"['프리미엄', '한정식', '한서푸스로랑', '진판', '예약문의', '3854588']",프리미엄		한정식		한서푸스로랑		진판		예약문의		3854588
63,20231226_145430_jpg.rf3.jpg,['한'],한
64,20231226_145430_jpg.rf4.jpg,"['마라이술마', '2F']",마라이술마		2F
65,20231226_145430_jpg.rf5.jpg,['1F'],1F
66,20231226_145430_jpg.rf6.jpg,[],
67,20231226_145434_jpg.rf.jpg,['E과C해'],E과C해
68,20231226_145434_jpg.rf2.jpg,['봉인'],봉인
69,20231226_145434_jpg.rf3.jpg,[],
70,20231226_145434_jpg.rf4.jpg,"['핫비', 'HOT']",핫비		HOT
71,20231226_145434_jpg.rf5.jpg,['BAR'],BAR
72,20231226_145434_jpg.rf6.jpg,[],
73,20231226_145434_jpg.rf7.jpg,"['친환경', '숙본앤본', '광주상무점', '373-8871']",친환경		숙본앤본		광주상무점		373-8871
74,20231226_145438_jpg.rf.jpg,"['봉령주차장', '인', '봉']",봉령주차장		인		봉
75,20231226_145450_jpg.rf.jpg,"['영대게수산', '대게/킹크립/라스터', '도소매전 문점 태 T383-022', '상후대지']",영대게수산		대게/킹크립/라스터		도소매전 문점 태 T383-022		상후대지
76,20231226_145450_jpg.rf2.jpg,['2'],2
77,20231226_145450_jpg.rf3.jpg,"['자겹아골라먹품', '있는', '휴', 'S', '고찾든 대기', '작문의: 010~', '체', '03-5701', 'TF', '패신']",자겹아골라먹품		있는		휴		S		고찾든 대기		작문의: 010~		체		03-5701		TF		패신
78,20231226_145450_jpg.rf4.jpg,['중국사치'],중국사치
79,20231226_145453_jpg.rf.jpg,"['전가', '상무직영점 70-549', '체인점문의 187-1457', '카지이삼점', '전문점']",전가		상무직영점 70-549		체인점문의 187-1457		카지이삼점		전문점
80,20231226_145453_jpg.rf2.jpg,"['ROro', '정복국삼계탕 전문점', '광주상무점', '062 373 5114']",ROro		정복국삼계탕 전문점		광주상무점		062 373 5114
81,20231226_145456_jpg.rf.jpg,"['RO퍼rTho', '경복궁삼계탕 전문점', '광주상무점', '062373 5114']",RO퍼rTho		경복궁삼계탕 전문점		광주상무점		062373 5114
82,20231226_145456_jpg.rf2.jpg,"['상무직영점 710-500', '체인점문의 187-1457']",상무직영점 710-500		체인점문의 187-1457
83,20231226_145510_jpg.rf.jpg,"['프리미엄한우', '수', '소김형제고기의청학', '이베리코 세르도', '상무점 T372-7776', '프리미엄 숙성 돼지']",프리미엄한우		수		소김형제고기의청학		이베리코 세르도		상무점 T372-7776		프리미엄 숙성 돼지
84,20231226_145511_jpg.rf.jpg,"['마포', '선장', '키조개삼합', '상무직영점 710-5409', '전문점', '체인점문의 1877-1457']",마포		선장		키조개삼합		상무직영점 710-5409		전문점		체인점문의 1877-1457
85,20231226_145511_jpg.rf2.jpg,"['대', '무', '상후대']",대		무		상후대
86,20231226_145511_jpg.rf3.jpg,"['삼계탕', 'Gyeong bokgug', '전문', '한우수제곰탕', '광주상무', '062373', '000원']",삼계탕		Gyeong bokgug		전문		한우수제곰탕		광주상무		062373		000원
87,20231226_145527_jpg.rf.jpg,"['프리미엄', '한정식', '한식레스토랑', '짜국', '예약문의', '3854588']",프리미엄		한정식		한식레스토랑		짜국		예약문의		3854588
88,20231226_145527_jpg.rf2.jpg,"['힐링', '타이마', '4F']",힐링		타이마		4F
89,20231226_145527_jpg.rf3.jpg,"['경감영재', '고기의철학', 'T372-7776']",경감영재		고기의철학		T372-7776
90,20231226_145527_jpg.rf4.jpg,"['8', 'Blaik뇨', '광O']",8		Blaik뇨		광O
91,20231226_145527_jpg.rf5.jpg,"['/석', '소', 'B', 'Bl']",/석		소		B		Bl
92,20231226_145540_jpg.rf.jpg,"['솥수완면', '고기', '순탄', '상무본점 T373-1983', '인물 단구이']",솥수완면		고기		순탄		상무본점 T373-1983		인물 단구이
93,20231226_145540_jpg.rf2.jpg,['080'],080
94,20231226_145547_jpg.rf.jpg,"['미미등커피', '익스프레스', '광주상무중앙점', 'MAMM']",미미등커피		익스프레스		광주상무중앙점		MAMM
95,20231226_145547_jpg.rf2.jpg,['MAMMOTH COFFEE EXPRESS'],MAMMOTH COFFEE EXPRESS
96,20231226_145552_jpg.rf.jpg,"['힐링', 'LIVE', '7080', 'MUSIC', '최고의 음향시설 / 피로연단체모임 환영 / 대형주차장 완비T671-3381']",힐링		LIVE		7080		MUSIC		최고의 음향시설 / 피로연단체모임 환영 / 대형주차장 완비T671-3381
97,20231226_145552_jpg.rf2.jpg,"['순탄고기', '정통연탄구이']",순탄고기		정통연탄구이
98,20231226_145552_jpg.rf3.jpg,"['B', '밥', '딩']",B		밥		딩
99,20231226_145552_jpg.rf4.jpg,"['HIG', '김치빌김']",HIG		김치빌김
100,20231226_145616_jpg.rf.jpg,"['매', '3F']",매		3F
101,20231226_145616_jpg.rf2.jpg,"['개념포차', '바다다']",개념포차		바다다
102,20231226_145616_jpg.rf3.jpg,"['홀', '탁흥주점']",홀		탁흥주점
103,20231226_145616_jpg.rf4.jpg,"['술마시는', '김가지']",술마시는		김가지
104,20231226_145616_jpg.rf5.jpg,"['임대', '주조은날부동산 편고', '01046089581', '책인중개제/신속처리/친출상담']",임대		주조은날부동산 편고		01046089581		책인중개제/신속처리/친출상담
105,20231226_145616_jpg.rf6.jpg,[],
106,20231226_145632_jpg.rf.jpg,"['OLCE룸소주방라mi', '보이스', '예약문의:364-555']",OLCE룸소주방라mi		보이스		예약문의:364-555
107,20231226_145648_jpg.rf.jpg,"['LNVE', 'MUSICr', '힐링', '오9']",LNVE		MUSICr		힐링		오9
108,20231226_145648_jpg.rf2.jpg,"['제주살다족돈', '0', '제주 흑돼지 전문점', '제주청년포크', '36 맹3992']",제주살다족돈		0		제주 흑돼지 전문점		제주청년포크		36 맹3992
109,20231226_145654_jpg.rf.jpg,['IEEB'],IEEB
110,20231226_145655_jpg.rf.jpg,"['뼈대군 국밥', '삼ie시집', '상무본점', '0623737009', '한그룸그이상의 든든학']",뼈대군 국밥		삼ie시집		상무본점		0623737009		한그룸그이상의 든든학
111,20231226_145655_jpg.rf2.jpg,['이세상'],이세상
112,20231226_145655_jpg.rf3.jpg,"['제주 흑돼지 전문점', '체주삼다흑돈', '가E예약문의 062385-3992', 'EY']",제주 흑돼지 전문점		체주삼다흑돈		가E예약문의 062385-3992		EY
113,20231226_145655_jpg.rf4.jpg,"['래', '대형룸환']",래		대형룸환
114,20231226_145706_jpg.rf.jpg,"['힐링', '용9']",힐링		용9
115,20231226_145706_jpg.rf2.jpg,"['30', '밥', '미가n', 'R']",30		밥		미가n		R
116,20231226_145710_jpg.rf.jpg,"['IBKWM센터광주', '1BK 기업은행', '|BK 투자증권']",IBKWM센터광주		1BK 기업은행		|BK 투자증권
117,20231226_145710_jpg.rf2.jpg,"['경복궁삼계탕', '0페대', '광주상무점', ' 373 5114']",경복궁삼계탕		0페대		광주상무점		 373 5114
118,20231226_145710_jpg.rf3.jpg,"['노래', '연습장', '아이', '이리스', '2F', '주차 3시간 무료', '대형룸 완비']",노래		연습장		아이		이리스		2F		주차 3시간 무료		대형룸 완비
119,20231226_145710_jpg.rf4.jpg,"['힐링708', 'LIVB MUSIG', '최고의 음향시설/피로연단체모임환영/대형주차장완비 671-35']",힐링708		LIVB MUSIG		최고의 음향시설/피로연단체모임환영/대형주차장완비 671-35
120,20231226_145710_jpg.rf5.jpg,['밥'],밥
121,20231226_145710_jpg.rf6.jpg,[],
122,20231226_145715_jpg.rf.jpg,"['뷰티스맑은피부과의원', '피부과', '전문의']",뷰티스맑은피부과의원		피부과		전문의
123,20231226_145717_jpg.rf.jpg,[],
124,20231226_145717_jpg.rf2.jpg,"['마피스끼어', 'MARVEL SQUARE']",마피스끼어		MARVEL SQUARE
125,20231226_145725_jpg.rf.jpg,['LG U+'],LG U+
126,20231226_145730_jpg.rf.jpg,"['SPAO', '스파오']",SPAO		스파오
127,20231226_145738_jpg.rf.jpg,['광주스마일 안과 의원'],광주스마일 안과 의원
128,20231226_145743_jpg.rf.jpg,['ELEVEN'],ELEVEN
129,20231226_145743_jpg.rf2.jpg,['생생약국기'],생생약국기
130,20231226_145743_jpg.rf3.jpg,['Best Anardk'],Best Anardk
131,20231226_145743_jpg.rf4.jpg,[],
132,20231226_145747_jpg.rf.jpg,['TIMES TOWER'],TIMES TOWER
