1.png	[{"transcription": "금강시티타원", "points": [[115, 28], [1591, 28], [1591, 316], [115, 316]]}]
10.png	[{"transcription": "영", "points": [[147, 160], [200, 157], [205, 252], [153, 255]]}, {"transcription": "MG사람홀금고", "points": [[77, 279], [235, 403], [190, 460], [32, 336]]}, {"transcription": "행복/ 보장지점", "points": [[93, 395], [184, 453], [161, 489], [70, 431]]}]
11.png	[{"transcription": "시티약국", "points": [[302, 4], [2389, 53], [2377, 480], [291, 431]]}, {"transcription": "Pharmacy", "points": [[29, 189], [375, 194], [374, 270], [27, 264]]}]
12.png	[]
13.png	[{"transcription": "다산부동산", "points": [[81, 56], [1507, 34], [1511, 291], [86, 313]]}, {"transcription": "868-2468", "points": [[1566, 71], [2163, 56], [2168, 220], [1571, 236]]}]
14.png	[{"transcription": "냉삼컴퍼니", "points": [[370, 30], [1563, 9], [1566, 234], [374, 255]]}, {"transcription": "868-3345", "points": [[1605, 90], [2011, 82], [2012, 167], [1607, 175]]}, {"transcription": "삼컴피", "points": [[108, 232], [218, 232], [218, 266], [108, 266]]}]
15.png	[{"transcription": "다솥 축산", "points": [[907, 19], [1229, 16], [1229, 90], [908, 92]]}, {"transcription": "DASOM", "points": [[603, 78], [1542, 78], [1542, 368], [603, 368]]}, {"transcription": "3신", "points": [[1661, 255], [1918, 244], [1923, 351], [1666, 362]]}, {"transcription": "PREMIUM MEAT SHOP", "points": [[716, 432], [1417, 428], [1418, 489], [717, 493]]}]
16.png	[{"transcription": "쓰담약국", "points": [[94, 0], [1481, 0], [1477, 367], [91, 353]]}]
17.png	[{"transcription": "약", "points": [[7, 95], [207, 67], [244, 370], [44, 398]]}]
18.png	[{"transcription": "엔젤티원", "points": [[178, 36], [1768, 36], [1768, 345], [178, 345]]}]
19.png	[{"transcription": "사오", "points": [[216, 49], [1031, 73], [1025, 309], [209, 285]]}, {"transcription": "전국 3대 크로칸슈 맛집해", "points": [[1169, 82], [1853, 96], [1851, 196], [1167, 182]]}, {"transcription": "BREAD", "points": [[1396, 220], [1654, 227], [1652, 292], [1394, 284]]}, {"transcription": "세종점", "points": [[60, 280], [240, 280], [240, 351], [60, 351]]}, {"transcription": "체인문의 1661-8794", "points": [[1577, 324], [2002, 334], [2001, 385], [1576, 376]]}]
2.png	[{"transcription": "S", "points": [[71, 51], [214, 61], [192, 413], [49, 403]]}]
20.png	[]
21.png	[{"transcription": "오라클피부과의원", "points": [[365, 35], [2202, 23], [2203, 156], [367, 168]]}, {"transcription": "피부과", "points": [[2250, 26], [2476, 21], [2478, 81], [2252, 87]]}, {"transcription": "oacle", "points": [[79, 44], [310, 50], [308, 124], [77, 118]]}, {"transcription": "전문의", "points": [[2263, 80], [2489, 74], [2492, 142], [2266, 148]]}, {"transcription": "세종시청점", "points": [[71, 122], [263, 116], [265, 165], [73, 171]]}]
22.png	[{"transcription": "U+", "points": [[674, 97], [1618, 0], [1714, 496], [770, 609]]}]
23.png	[{"transcription": "cafeDROPTOP", "points": [[52, 48], [1632, 30], [1633, 146], [53, 164]]}]
24.png	[{"transcription": "오로컬석센터", "points": [[260, 15], [1220, 31], [1218, 99], [258, 84]]}]
25.png	[{"transcription": "MG새마울금고", "points": [[836, 78], [2488, 78], [2488, 291], [836, 291]]}, {"transcription": "행복 | 보람지점", "points": [[2908, 140], [3376, 140], [3376, 221], [2908, 221]]}]
26.png	[{"transcription": "Bon", "points": [[160, 174], [413, 169], [414, 248], [162, 253]]}]
27.png	[{"transcription": "emart24", "points": [[281, 43], [1848, 31], [1851, 313], [283, 325]]}]
