1.png	[{"transcription": "IBKWM센터 광주", "points": [[484, 65], [2676, 65], [2676, 295], [484, 295]]}, {"transcription": "|BK기업은행", "points": [[2783, 69], [3348, 61], [3350, 161], [2784, 169]]}, {"transcription": "|BK투자증권", "points": [[2791, 165], [3364, 165], [3364, 266], [2791, 266]]}]
10.png	[{"transcription": "상무스타치과병원", "points": [[738, 113], [3318, 138], [3315, 384], [735, 359]]}]
100.png	[{"transcription": "스연진", "points": [[230, 30], [279, 30], [279, 85], [230, 85]]}, {"transcription": "하한H전점/", "points": [[183, 173], [251, 198], [155, 486], [86, 461]]}, {"transcription": "T", "points": [[22, 638], [90, 638], [90, 718], [22, 718]]}]
101.png	[{"transcription": "T78", "points": [[6, 339], [602, 24], [645, 101], [50, 417]]}]
102.png	[{"transcription": "전통설의료", "points": [[13, 257], [554, 2], [585, 69], [45, 324]]}]
105.png	[{"transcription": "a0bace학국방통광고진흥공시", "points": [[5, 577], [3449, 35], [3488, 317], [45, 859]]}]
106.png	[{"transcription": "빨가핀", "points": [[1091, 0], [2407, 57], [2385, 410], [1070, 341]]}, {"transcription": "wON", "points": [[118, 126], [496, 150], [486, 288], [107, 264]]}, {"transcription": "1577-6688", "points": [[2732, 217], [3199, 239], [3194, 329], [2727, 307]]}]
107.png	[{"transcription": "하화경동", "points": [[1110, 122], [3386, 84], [3393, 546], [1117, 584]]}]
108.png	[{"transcription": "모두투어", "points": [[522, 117], [2447, 42], [2462, 389], [537, 464]]}, {"transcription": "주미소등어 1588-1095", "points": [[2552, 181], [3213, 152], [3217, 235], [2556, 264]]}]
109.png	[{"transcription": "한화생명", "points": [[831, 374], [1922, 374], [1922, 679], [831, 679]]}, {"transcription": "상무고객센터6F", "points": [[449, 971], [1667, 971], [1667, 1158], [449, 1158]]}]
11.png	[{"transcription": "교보문고", "points": [[201, 47], [1504, 37], [1506, 260], [203, 271]]}, {"transcription": "Cafe Za1", "points": [[1819, 61], [3318, 23], [3325, 216], [1825, 253]]}]
110.png	[{"transcription": "N", "points": [[1138, 369], [1362, 498], [1261, 675], [1037, 547]]}, {"transcription": "상무트원스빌딩", "points": [[283, 951], [2160, 890], [2171, 1224], [294, 1285]]}, {"transcription": "SANGMOoTWNS BULDING", "points": [[266, 1320], [2148, 1259], [2153, 1418], [271, 1479]]}]
111.png	[{"transcription": "엑셀금융서비스", "points": [[1078, 223], [2535, 251], [2531, 466], [1073, 438]]}, {"transcription": "Excel Financial Services CO Ltd", "points": [[1067, 465], [2549, 480], [2548, 586], [1066, 571]]}, {"transcription": "상무사업단", "points": [[2223, 698], [2555, 698], [2555, 778], [2223, 778]]}]
112.png	[{"transcription": "KOSM트중소센랜치기업전홍공단", "points": [[92, 282], [3171, 158], [3182, 414], [103, 538]]}, {"transcription": "광주지역본부", "points": [[1480, 477], [2389, 448], [2395, 609], [1485, 638]]}]
114.png	[{"transcription": "드스트중숯피H서기의전운통드", "points": [[476, 638], [2958, 24], [2996, 192], [515, 806]]}]
115.png	[{"transcription": "AXA손해보험", "points": [[1196, 223], [3260, 370], [3242, 659], [1177, 511]]}, {"transcription": "5", "points": [[52, 238], [273, 178], [301, 292], [79, 352]]}, {"transcription": "I7", "points": [[326, 277], [412, 234], [436, 287], [349, 330]]}, {"transcription": "AA", "points": [[653, 309], [990, 309], [990, 505], [653, 505]]}, {"transcription": "ntatn", "points": [[100, 432], [297, 432], [297, 547], [100, 547]]}]
116.png	[{"transcription": "GS리테일", "points": [[750, 183], [1560, 206], [1555, 398], [745, 375]]}, {"transcription": "GS25호남본부", "points": [[2057, 202], [3539, 253], [3532, 485], [2049, 433]]}]
117.png	[{"transcription": "상무금융센터", "points": [[1473, 160], [1840, 129], [1847, 214], [1479, 245]]}, {"transcription": "원커은행WORIBANK", "points": [[289, 224], [1217, 153], [1227, 286], [298, 358]]}, {"transcription": " 타라 품탕", "points": [[85, 280], [196, 274], [199, 327], [88, 334]]}]
118.png	[]
12.png	[{"transcription": "신영증권", "points": [[213, 23], [519, 8], [522, 65], [216, 80]]}, {"transcription": "HUG주택도시보중곱사", "points": [[81, 105], [733, 93], [734, 138], [82, 151]]}]
120.png	[{"transcription": "떡학전학전원", "points": [[438, 98], [477, 87], [482, 107], [443, 118]]}, {"transcription": "T", "points": [[437, 133], [448, 133], [448, 141], [437, 141]]}, {"transcription": "마5z", "points": [[417, 151], [532, 95], [549, 130], [434, 186]]}, {"transcription": "n#구니수품국과품", "points": [[86, 267], [368, 146], [397, 218], [116, 338]]}, {"transcription": "Gieno", "points": [[30, 316], [88, 294], [98, 321], [40, 343]]}]
121.png	[{"transcription": "구n곰주", "points": [[392, 71], [527, 26], [540, 70], [405, 115]]}, {"transcription": "Ts00", "points": [[396, 114], [521, 65], [537, 109], [412, 158]]}, {"transcription": "눈볶래이", "points": [[157, 144], [362, 87], [385, 179], [180, 236]]}, {"transcription": "AIE79", "points": [[13, 233], [69, 217], [75, 240], [19, 256]]}]
122.png	[{"transcription": "김분중은금장", "points": [[1313, 168], [3263, 77], [3280, 396], [1331, 486]]}, {"transcription": "7F", "points": [[3492, 196], [3701, 196], [3701, 356], [3492, 356]]}, {"transcription": "연국전용관", "points": [[648, 309], [1248, 276], [1257, 406], [657, 440]]}, {"transcription": "002", "points": [[318, 503], [447, 479], [460, 538], [331, 563]]}]
123.png	[{"transcription": "스도셀리성담발라전터", "points": [[378, 96], [3593, 43], [3597, 255], [382, 308]]}, {"transcription": "T", "points": [[126, 139], [245, 139], [245, 212], [126, 212]]}, {"transcription": "T-373-3475-4475", "points": [[896, 369], [2730, 361], [2730, 511], [896, 519]]}]
124.png	[{"transcription": "눈높0", "points": [[1241, 64], [2097, 64], [2097, 323], [1241, 323]]}, {"transcription": "회상부부", "points": [[2404, 93], [2917, 68], [2923, 184], [2410, 209]]}, {"transcription": "AEKYO", "points": [[222, 162], [552, 152], [555, 225], [225, 235]]}, {"transcription": "Iam thekey", "points": [[703, 174], [1076, 174], [1076, 247], [703, 247]]}, {"transcription": "5308", "points": [[2459, 199], [2917, 188], [2919, 283], [2462, 293]]}, {"transcription": "대교", "points": [[455, 222], [544, 222], [544, 262], [455, 262]]}]
125.png	[{"transcription": "술루니", "points": [[605, 110], [1210, 43], [1242, 279], [637, 342]]}, {"transcription": "DAEKYO", "points": [[184, 150], [489, 150], [489, 228], [184, 228]]}, {"transcription": "독서토로노술", "points": [[1204, 150], [1963, 156], [1962, 276], [1203, 270]]}, {"transcription": "솔루니광주교육국", "points": [[2253, 148], [2682, 139], [2683, 195], [2254, 204]]}, {"transcription": "062-382-1347", "points": [[2256, 207], [2688, 198], [2689, 254], [2257, 263]]}]
126.png	[{"transcription": "정석수학", "points": [[115, 23], [1156, 59], [1148, 304], [106, 269]]}, {"transcription": " ", "points": [[1417, 150], [1466, 150], [1466, 187], [1417, 187]]}, {"transcription": "F", "points": [[1674, 164], [1735, 177], [1727, 217], [1665, 204]]}, {"transcription": "3F", "points": [[2038, 168], [2106, 168], [2106, 215], [2038, 215]]}, {"transcription": "267-3333", "points": [[1891, 346], [2226, 341], [2227, 404], [1892, 410]]}]
128.png	[{"transcription": "STARBUCKS", "points": [[32, 38], [1164, 32], [1165, 153], [33, 159]]}]
129.png	[{"transcription": "4950", "points": [[1759, 131], [2450, 171], [2438, 417], [1747, 376]]}, {"transcription": "유기농프밀리레스토랑", "points": [[497, 179], [1321, 197], [1319, 311], [494, 294]]}, {"transcription": "NAPOL]", "points": [[1503, 215], [1698, 226], [1694, 299], [1500, 289]]}, {"transcription": "Dizza /steak / Dasta /wine", "points": [[2528, 260], [3387, 295], [3383, 393], [2525, 358]]}, {"transcription": "PIZZA", "points": [[1526, 285], [1694, 295], [1691, 357], [1523, 346]]}, {"transcription": "상무점 062-372-207", "points": [[2945, 400], [3409, 413], [3407, 483], [2944, 469]]}]
13.png	[{"transcription": "|모던성형외과의원", "points": [[41, 24], [828, 7], [829, 65], [42, 82]]}]
130.png	[{"transcription": "청담어학원", "points": [[478, 19], [1426, 68], [1415, 247], [467, 199]]}, {"transcription": "382-9408", "points": [[40, 36], [448, 59], [443, 136], [35, 113]]}, {"transcription": "CHUNG DAHM", "points": [[1560, 89], [1923, 116], [1918, 168], [1555, 141]]}]
131.png	[{"transcription": "Aprl여학원", "points": [[35, 7], [1205, 117], [1186, 314], [17, 203]]}, {"transcription": "CHUNG DAHM", "points": [[1279, 166], [1608, 200], [1603, 246], [1274, 212]]}]
132.png	[{"transcription": "차이풍중국어학원", "points": [[259, 30], [1683, 235], [1659, 409], [235, 205]]}, {"transcription": "HSK전수처", "points": [[1792, 251], [2274, 308], [2265, 391], [1782, 335]]}, {"transcription": "371-72 1", "points": [[1811, 335], [2291, 396], [2282, 471], [1802, 409]]}]
