,acc,norm_edit_dis,fps,model,dataset,precision,recall,hmean
0,0.6195812068685721,0.7512923024534649,4106.201397112543,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.6262259348883211,0.7557422659433247,2924.1687375980896,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.6257196301280861,0.7562216220085438,4233.058747169389,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.6274609512332285,0.756187353607486,2310.897512706724,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.6221963931093117,0.7533325166918355,3953.218211807398,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.6160552120479076,0.7487427844193241,2624.1780862887267,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.6246844522411266,0.7545947537644149,3977.6886807696887,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.615982564027619,0.7484017850629532,2958.417812592972,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.6220668360657343,0.7528542753907619,3940.33952779509,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.6234020913542984,0.7557180088860666,3058.145278056452,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_1,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.6709768809053308,0.7872914285410351,4374.063778148863,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.6733745000556669,0.790621941172706,2465.861641361813,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.677278753304891,0.7924522115648731,3884.146347096233,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.6805666540642451,0.7924808683562907,2925.3860720952744,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.6748451772197582,0.7898059828941626,4170.003052187583,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.6664729381282434,0.784590925133358,2570.753298566584,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.6754626517488217,0.7909685264940212,3982.791122746473,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.6673447143717075,0.7853202536200571,2958.1261738952844,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.6752088629358501,0.7903416540352898,4372.4778671337135,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_2,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
